variant,instance,seed,service_rate,runtime_s
baseline,lc108,42,0.8490566037735849,0.9444971084594727
baseline,lc108,1,0.8490566037735849,0.912463903427124
baseline,lc108,2,0.8113207547169812,0.9337899684906006
baseline,lc108,3,0.8490566037735849,0.9029109477996826
baseline,lc108,4,0.8490566037735849,0.9712989330291748
baseline,lc109,42,0.8301886792452831,1.116499900817871
baseline,lc109,1,0.8113207547169812,1.130964994430542
baseline,lc109,2,0.7924528301886793,1.070803165435791
baseline,lc109,3,0.8301886792452831,1.0812699794769287
baseline,lc109,4,0.7924528301886793,1.0874049663543701
baseline,lc207,42,0.8235294117647058,1.862534761428833
baseline,lc207,1,0.803921568627451,6.710308790206909
baseline,lc207,2,0.803921568627451,1.529731035232544
baseline,lc207,3,0.8235294117647058,1.9012739658355713
baseline,lc207,4,0.803921568627451,1.5041909217834473
baseline,lc208,42,0.7450980392156863,2.2713429927825928
baseline,lc208,1,0.8627450980392157,2.211874008178711
baseline,lc208,2,0.7450980392156863,2.287402868270874
baseline,lc208,3,0.9019607843137255,2.426732063293457
baseline,lc208,4,0.7843137254901961,2.2530088424682617
baseline,lr111,42,0.3888888888888889,1.1342189311981201
baseline,lr111,1,0.3888888888888889,1.1709527969360352
baseline,lr111,2,0.3888888888888889,1.1518771648406982
baseline,lr111,3,0.3888888888888889,1.1208970546722412
baseline,lr111,4,0.3888888888888889,1.306520938873291
baseline,lr112,42,0.33962264150943394,1.1578221321105957
baseline,lr112,1,0.33962264150943394,1.2153546810150146
baseline,lr112,2,0.33962264150943394,1.2138969898223877
baseline,lr112,3,0.33962264150943394,1.1644060611724854
baseline,lr112,4,0.33962264150943394,1.1855988502502441
baseline,lr210,42,0.4117647058823529,1.201625108718872
baseline,lr210,1,0.4117647058823529,1.246291160583496
baseline,lr210,2,0.4117647058823529,1.2095539569854736
baseline,lr210,3,0.4117647058823529,1.216912031173706
baseline,lr210,4,0.4117647058823529,1.2205939292907715
baseline,lr211,42,0.34,1.260025978088379
baseline,lr211,1,0.34,1.176577091217041
baseline,lr211,2,0.34,1.1888740062713623
baseline,lr211,3,0.34,1.1613729000091553
baseline,lr211,4,0.34,1.1827220916748047
baseline,lrc107,42,0.4339622641509434,0.9864161014556885
baseline,lrc107,1,0.4339622641509434,0.9879298210144043
baseline,lrc107,2,0.4339622641509434,0.9621732234954834
baseline,lrc107,3,0.4339622641509434,0.9718379974365234
baseline,lrc107,4,0.4339622641509434,0.9865162372589111
baseline,lrc108,42,0.40384615384615385,1.0335240364074707
baseline,lrc108,1,0.40384615384615385,1.0374846458435059
baseline,lrc108,2,0.40384615384615385,1.0350420475006104
baseline,lrc108,3,0.38461538461538464,0.9500627517700195
baseline,lrc108,4,0.40384615384615385,1.0194628238677979
baseline,lrc207,42,0.37254901960784315,1.190645694732666
baseline,lrc207,1,0.37254901960784315,1.2078731060028076
baseline,lrc207,2,0.37254901960784315,1.2016887664794922
baseline,lrc207,3,0.37254901960784315,1.2050859928131104
baseline,lrc207,4,0.37254901960784315,1.2085459232330322
baseline,lrc208,42,0.43137254901960786,1.575070858001709
baseline,lrc208,1,0.43137254901960786,1.5384881496429443
baseline,lrc208,2,0.43137254901960786,1.566748857498169
baseline,lrc208,3,0.43137254901960786,1.5448570251464844
baseline,lrc208,4,0.43137254901960786,1.5633010864257812
thr0.3,lc108,42,0.8301886792452831,0.8827493190765381
thr0.3,lc108,1,0.8301886792452831,0.9053010940551758
thr0.3,lc108,2,0.8301886792452831,0.8968150615692139
thr0.3,lc108,3,0.8301886792452831,0.886132001876831
thr0.3,lc108,4,0.8301886792452831,0.8830549716949463
thr0.3,lc109,42,0.7924528301886793,1.1111500263214111
thr0.3,lc109,1,0.7924528301886793,1.108464002609253
thr0.3,lc109,2,0.7924528301886793,1.1166691780090332
thr0.3,lc109,3,0.8113207547169812,1.117583990097046
thr0.3,lc109,4,0.8113207547169812,0.9964308738708496
thr0.3,lc207,42,0.8431372549019608,1.5293543338775635
thr0.3,lc207,1,0.8235294117647058,1.8609459400177002
thr0.3,lc207,2,0.8235294117647058,1.6186470985412598
thr0.3,lc207,3,0.8431372549019608,2.1962029933929443
thr0.3,lc207,4,0.8235294117647058,2.200562000274658
thr0.3,lc208,42,0.8235294117647058,2.3631627559661865
thr0.3,lc208,1,0.8627450980392157,3.28851318359375
thr0.3,lc208,2,0.8431372549019608,2.2864837646484375
thr0.3,lc208,3,0.7450980392156863,3.089475154876709
thr0.3,lc208,4,0.8431372549019608,2.0850229263305664
thr0.3,lr111,42,0.3888888888888889,1.1623156070709229
thr0.3,lr111,1,0.3888888888888889,1.1632330417633057
thr0.3,lr111,2,0.3888888888888889,1.1804187297821045
thr0.3,lr111,3,0.3888888888888889,1.1953091621398926
thr0.3,lr111,4,0.3888888888888889,1.2290019989013672
thr0.3,lr112,42,0.33962264150943394,1.1990079879760742
thr0.3,lr112,1,0.33962264150943394,1.2515289783477783
thr0.3,lr112,2,0.33962264150943394,1.208573341369629
thr0.3,lr112,3,0.33962264150943394,1.2242391109466553
thr0.3,lr112,4,0.33962264150943394,1.2082149982452393
thr0.3,lr210,42,0.29411764705882354,0.7106308937072754
thr0.3,lr210,1,0.29411764705882354,0.7166948318481445
thr0.3,lr210,2,0.29411764705882354,0.7229728698730469
thr0.3,lr210,3,0.29411764705882354,0.7296350002288818
thr0.3,lr210,4,0.29411764705882354,0.745136022567749
thr0.3,lr211,42,0.3,0.6552591323852539
thr0.3,lr211,1,0.3,0.6853890419006348
thr0.3,lr211,2,0.3,0.6735200881958008
thr0.3,lr211,3,0.3,0.6624078750610352
thr0.3,lr211,4,0.3,0.6554648876190186
thr0.3,lrc107,42,0.4339622641509434,0.971977949142456
thr0.3,lrc107,1,0.4339622641509434,0.9785411357879639
thr0.3,lrc107,2,0.4339622641509434,0.9668889045715332
thr0.3,lrc107,3,0.4339622641509434,0.9835121631622314
thr0.3,lrc107,4,0.4339622641509434,0.9782309532165527
thr0.3,lrc108,42,0.38461538461538464,1.0260770320892334
thr0.3,lrc108,1,0.40384615384615385,1.096742868423462
thr0.3,lrc108,2,0.38461538461538464,0.9891672134399414
thr0.3,lrc108,3,0.38461538461538464,0.991868257522583
thr0.3,lrc108,4,0.40384615384615385,1.0866851806640625
thr0.3,lrc207,42,0.39215686274509803,0.6308820247650146
thr0.3,lrc207,1,0.39215686274509803,0.6554961204528809
thr0.3,lrc207,2,0.39215686274509803,0.6324470043182373
thr0.3,lrc207,3,0.39215686274509803,0.6370499134063721
thr0.3,lrc207,4,0.39215686274509803,0.6416802406311035
thr0.3,lrc208,42,0.4117647058823529,0.9784078598022461
thr0.3,lrc208,1,0.4117647058823529,0.986412763595581
thr0.3,lrc208,2,0.4117647058823529,1.009361982345581
thr0.3,lrc208,3,0.4117647058823529,1.0239160060882568
thr0.3,lrc208,4,0.4117647058823529,1.047084093093872
thr0.4,lc108,42,0.8490566037735849,0.9956638813018799
thr0.4,lc108,1,0.8301886792452831,0.9821171760559082
thr0.4,lc108,2,0.8490566037735849,1.0079967975616455
thr0.4,lc108,3,0.8301886792452831,0.9418799877166748
thr0.4,lc108,4,0.8301886792452831,0.8901321887969971
thr0.4,lc109,42,0.7735849056603774,1.134155035018921
thr0.4,lc109,1,0.8113207547169812,1.0020573139190674
thr0.4,lc109,2,0.7924528301886793,1.1510169506072998
thr0.4,lc109,3,0.7924528301886793,1.1342411041259766
thr0.4,lc109,4,0.8113207547169812,1.0347373485565186
thr0.4,lc207,42,0.8431372549019608,1.7845127582550049
thr0.4,lc207,1,0.8235294117647058,2.3976101875305176
thr0.4,lc207,2,0.8235294117647058,1.7773211002349854
thr0.4,lc207,3,0.8431372549019608,1.76078200340271
thr0.4,lc207,4,0.8627450980392157,2.7074949741363525
thr0.4,lc208,42,0.8627450980392157,5.150361776351929
thr0.4,lc208,1,0.8431372549019608,5.284286022186279
thr0.4,lc208,2,0.8235294117647058,1.874992847442627
thr0.4,lc208,3,0.8823529411764706,2.3552329540252686
thr0.4,lc208,4,0.8431372549019608,5.513945817947388
thr0.4,lr111,42,0.3888888888888889,1.2167229652404785
thr0.4,lr111,1,0.3888888888888889,1.2006850242614746
thr0.4,lr111,2,0.3888888888888889,1.190384864807129
thr0.4,lr111,3,0.3888888888888889,1.1914162635803223
thr0.4,lr111,4,0.3888888888888889,1.194715976715088
thr0.4,lr112,42,0.33962264150943394,1.2404139041900635
thr0.4,lr112,1,0.33962264150943394,1.2409741878509521
thr0.4,lr112,2,0.33962264150943394,1.2410130500793457
thr0.4,lr112,3,0.33962264150943394,1.1953871250152588
thr0.4,lr112,4,0.33962264150943394,1.2480781078338623
thr0.4,lr210,42,0.29411764705882354,0.703571081161499
thr0.4,lr210,1,0.29411764705882354,0.7178590297698975
thr0.4,lr210,2,0.29411764705882354,0.7171950340270996
thr0.4,lr210,3,0.29411764705882354,0.764024019241333
thr0.4,lr210,4,0.29411764705882354,0.7470169067382812
thr0.4,lr211,42,0.3,0.6850240230560303
thr0.4,lr211,1,0.3,0.6821279525756836
thr0.4,lr211,2,0.3,0.6928210258483887
thr0.4,lr211,3,0.3,0.7071380615234375
thr0.4,lr211,4,0.3,0.6948459148406982
thr0.4,lrc107,42,0.4339622641509434,1.0701029300689697
thr0.4,lrc107,1,0.4339622641509434,1.0619049072265625
thr0.4,lrc107,2,0.4339622641509434,1.0505428314208984
thr0.4,lrc107,3,0.4339622641509434,1.0631990432739258
thr0.4,lrc107,4,0.4339622641509434,1.0835328102111816
thr0.4,lrc108,42,0.38461538461538464,1.122380018234253
thr0.4,lrc108,1,0.40384615384615385,1.1942262649536133
thr0.4,lrc108,2,0.38461538461538464,1.1334037780761719
thr0.4,lrc108,3,0.38461538461538464,1.150609016418457
thr0.4,lrc108,4,0.38461538461538464,1.2107670307159424
thr0.4,lrc207,42,0.39215686274509803,0.6860737800598145
thr0.4,lrc207,1,0.39215686274509803,0.6896791458129883
thr0.4,lrc207,2,0.39215686274509803,0.6969428062438965
thr0.4,lrc207,3,0.39215686274509803,0.7110812664031982
thr0.4,lrc207,4,0.39215686274509803,0.7893340587615967
thr0.4,lrc208,42,0.4117647058823529,1.25797700881958
thr0.4,lrc208,1,0.4117647058823529,1.088371992111206
thr0.4,lrc208,2,0.4117647058823529,1.062819242477417
thr0.4,lrc208,3,0.4117647058823529,1.029897928237915
thr0.4,lrc208,4,0.4117647058823529,1.058790922164917
thr0.5,lc108,42,0.8113207547169812,0.9080338478088379
thr0.5,lc108,1,0.8113207547169812,0.8917529582977295
thr0.5,lc108,2,0.8113207547169812,0.886146068572998
thr0.5,lc108,3,0.8490566037735849,0.8702960014343262
thr0.5,lc108,4,0.8490566037735849,0.896838903427124
thr0.5,lc109,42,0.7735849056603774,1.0558700561523438
thr0.5,lc109,1,0.7735849056603774,1.1059629917144775
thr0.5,lc109,2,0.8113207547169812,1.132741928100586
thr0.5,lc109,3,0.7735849056603774,1.0324220657348633
thr0.5,lc109,4,0.7735849056603774,1.13545823097229
thr0.5,lc207,42,0.8235294117647058,2.2979750633239746
thr0.5,lc207,1,0.8431372549019608,2.861130952835083
thr0.5,lc207,2,0.8431372549019608,2.359057903289795
thr0.5,lc207,3,0.8235294117647058,2.737443208694458
thr0.5,lc207,4,0.8431372549019608,2.591268301010132
thr0.5,lc208,42,0.8431372549019608,2.143049955368042
thr0.5,lc208,1,0.8431372549019608,2.2502808570861816
thr0.5,lc208,2,0.8627450980392157,3.1795289516448975
thr0.5,lc208,3,0.8627450980392157,3.2801971435546875
thr0.5,lc208,4,0.8431372549019608,2.25467586517334
thr0.5,lr111,42,0.3888888888888889,1.2669401168823242
thr0.5,lr111,1,0.3888888888888889,1.2033751010894775
thr0.5,lr111,2,0.3888888888888889,1.2171728610992432
thr0.5,lr111,3,0.3888888888888889,1.2216970920562744
thr0.5,lr111,4,0.3888888888888889,1.1810269355773926
thr0.5,lr112,42,0.33962264150943394,1.3673689365386963
thr0.5,lr112,1,0.33962264150943394,1.4714579582214355
thr0.5,lr112,2,0.33962264150943394,1.3546698093414307
thr0.5,lr112,3,0.33962264150943394,1.340034008026123
thr0.5,lr112,4,0.33962264150943394,1.344148874282837
thr0.5,lr210,42,0.3333333333333333,0.7276711463928223
thr0.5,lr210,1,0.3333333333333333,0.7703149318695068
thr0.5,lr210,2,0.3333333333333333,0.7408549785614014
thr0.5,lr210,3,0.3333333333333333,0.7584731578826904
thr0.5,lr210,4,0.3333333333333333,0.7249331474304199
thr0.5,lr211,42,0.3,0.7063760757446289
thr0.5,lr211,1,0.3,0.7093749046325684
thr0.5,lr211,2,0.3,0.7264060974121094
thr0.5,lr211,3,0.3,0.6956660747528076
thr0.5,lr211,4,0.3,0.8003227710723877
thr0.5,lrc107,42,0.4339622641509434,1.0955591201782227
thr0.5,lrc107,1,0.4339622641509434,1.1144490242004395
thr0.5,lrc107,2,0.4339622641509434,1.1169848442077637
thr0.5,lrc107,3,0.4339622641509434,1.1843929290771484
thr0.5,lrc107,4,0.4339622641509434,1.160027027130127
thr0.5,lrc108,42,0.38461538461538464,1.2393689155578613
thr0.5,lrc108,1,0.38461538461538464,1.1834290027618408
thr0.5,lrc108,2,0.40384615384615385,1.1913318634033203
thr0.5,lrc108,3,0.38461538461538464,1.1215310096740723
thr0.5,lrc108,4,0.38461538461538464,1.1119799613952637
thr0.5,lrc207,42,0.39215686274509803,0.6726939678192139
thr0.5,lrc207,1,0.39215686274509803,0.6763992309570312
thr0.5,lrc207,2,0.39215686274509803,0.6868751049041748
thr0.5,lrc207,3,0.39215686274509803,0.6728229522705078
thr0.5,lrc207,4,0.39215686274509803,0.6859331130981445
thr0.5,lrc208,42,0.4117647058823529,1.112318992614746
thr0.5,lrc208,1,0.4117647058823529,1.1088550090789795
thr0.5,lrc208,2,0.4117647058823529,1.094360113143921
thr0.5,lrc208,3,0.4117647058823529,1.0832412242889404
thr0.5,lrc208,4,0.4117647058823529,1.1052160263061523
thr0.6,lc108,42,0.8867924528301887,0.7646908760070801
thr0.6,lc108,1,0.8867924528301887,0.7562079429626465
thr0.6,lc108,2,0.8679245283018868,0.8407580852508545
thr0.6,lc108,3,0.8679245283018868,0.8213660717010498
thr0.6,lc108,4,0.8867924528301887,0.768427848815918
thr0.6,lc109,42,0.7924528301886793,1.0328137874603271
thr0.6,lc109,1,0.7924528301886793,0.9654190540313721
thr0.6,lc109,2,0.8301886792452831,1.0424549579620361
thr0.6,lc109,3,0.8113207547169812,0.9589128494262695
thr0.6,lc109,4,0.8113207547169812,0.9338510036468506
thr0.6,lc207,42,0.7843137254901961,1.9558968544006348
thr0.6,lc207,1,0.7647058823529411,1.7984528541564941
thr0.6,lc207,2,0.8235294117647058,3.9854023456573486
thr0.6,lc207,3,0.7843137254901961,4.025046110153198
thr0.6,lc207,4,0.7647058823529411,1.5609049797058105
thr0.6,lc208,42,0.8235294117647058,1.8612680435180664
thr0.6,lc208,1,0.8235294117647058,1.88932204246521
thr0.6,lc208,2,0.8235294117647058,1.8315279483795166
thr0.6,lc208,3,0.8235294117647058,1.8990888595581055
thr0.6,lc208,4,0.8235294117647058,1.8481640815734863
thr0.6,lr111,42,0.3888888888888889,1.1693739891052246
thr0.6,lr111,1,0.3888888888888889,1.1353349685668945
thr0.6,lr111,2,0.3888888888888889,1.1310148239135742
thr0.6,lr111,3,0.3888888888888889,1.1327838897705078
thr0.6,lr111,4,0.3888888888888889,1.1091182231903076
thr0.6,lr112,42,0.33962264150943394,1.266002893447876
thr0.6,lr112,1,0.33962264150943394,1.2633657455444336
thr0.6,lr112,2,0.33962264150943394,1.2690329551696777
thr0.6,lr112,3,0.33962264150943394,1.2632598876953125
thr0.6,lr112,4,0.33962264150943394,1.2690250873565674
thr0.6,lr210,42,0.3333333333333333,0.6826789379119873
thr0.6,lr210,1,0.3333333333333333,0.6977500915527344
thr0.6,lr210,2,0.3333333333333333,0.7104818820953369
thr0.6,lr210,3,0.3333333333333333,0.7344839572906494
thr0.6,lr210,4,0.3333333333333333,0.7129440307617188
thr0.6,lr211,42,0.3,0.6800000667572021
thr0.6,lr211,1,0.3,0.685070276260376
thr0.6,lr211,2,0.3,0.6600449085235596
thr0.6,lr211,3,0.3,0.6732118129730225
thr0.6,lr211,4,0.3,0.6841771602630615
thr0.6,lrc107,42,0.4339622641509434,1.0154428482055664
thr0.6,lrc107,1,0.4339622641509434,0.9963610172271729
thr0.6,lrc107,2,0.4339622641509434,0.9995689392089844
thr0.6,lrc107,3,0.4339622641509434,1.008263111114502
thr0.6,lrc107,4,0.4339622641509434,1.0119001865386963
thr0.6,lrc108,42,0.38461538461538464,1.040428876876831
thr0.6,lrc108,1,0.40384615384615385,1.1052017211914062
thr0.6,lrc108,2,0.38461538461538464,1.0436711311340332
thr0.6,lrc108,3,0.38461538461538464,1.0373470783233643
thr0.6,lrc108,4,0.40384615384615385,1.1087229251861572
