trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
OF_O1-Weekday-068000_M1_112,11:20:00,11:20:00,42432665,1,0,0
OF_O1-Weekday-068000_M1_112,11:20:31,11:20:31,42432659,2,0,0
OF_O1-Weekday-068000_M1_112,11:22:01,11:22:01,42440381,3,0,0
OF_O1-Weekday-068000_M1_112,11:23:19,11:23:19,4990704680,4,0,0
OF_O1-Weekday-068000_M1_112,11:24:59,11:24:59,5378686572,5,0,0
OF_O1-Weekday-068000_M1_112,11:25:59,11:25:59,42445585,6,0,0
OF_O1-Weekday-068000_M1_112,11:27:00,11:27:00,42437928,7,0,0
OF_O1-Weekday-068000_M1_112,11:28:20,11:28:20,42429530,8,0,0
OF_O1-Weekday-068000_M1_112,11:29:19,11:29:19,42448141,9,0,0
OF_O1-Weekday-068000_M1_112,11:30:18,11:30:18,42448979,10,0,0
OF_O1-Weekday-068000_M1_112,11:31:47,11:31:47,42444452,11,0,0
OF_O1-Weekday-068000_M1_112,11:33:10,11:33:10,42442128,12,0,0
OF_O1-Weekday-068000_M1_112,11:34:23,11:34:23,3858909357,13,0,0
OF_O1-Weekday-068000_M1_112,11:35:48,11:35:48,42429552,14,0,0
OF_O1-Weekday-068000_M1_112,11:37:02,11:37:02,42449828,15,0,0
OF_O1-Weekday-068000_M1_112,11:38:04,11:38:04,42437174,16,0,0
OF_O1-Weekday-068000_M1_112,11:39:59,11:39:59,42437201,17,0,0
OF_O1-Weekday-068000_M1_112,11:41:00,11:41:00,42432395,18,0,0
OF_O1-Weekday-068000_M1_112,11:42:18,11:42:18,42436637,19,0,0
OF_O1-Weekday-068000_M1_112,11:44:00,11:44:00,42450456,20,0,0
OF_O1-Weekday-068000_M1_112,11:45:25,11:45:25,42436604,21,0,0
OF_O1-Weekday-068000_M1_112,11:47:20,11:47:20,42425127,22,0,0
OF_O1-Weekday-068000_M1_112,11:50:20,11:50:20,42453575,23,0,0
OF_O1-Weekday-068000_M1_112,11:51:36,11:51:36,42443268,24,0,0
OF_O1-Weekday-068000_M1_112,11:53:43,11:53:43,42444485,25,0,0
OF_O1-Weekday-068000_M1_112,11:55:07,11:55:07,42448726,26,0,0
OF_O1-Weekday-068000_M1_112,11:56:59,11:56:59,42444809,27,0,0
OF_O1-Weekday-068000_M1_112,11:59:18,11:59:18,42454189,28,0,0
OF_O1-Weekday-068000_M1_112,12:01:31,12:01:31,42435497,29,0,0
OF_O1-Weekday-068000_M1_112,12:03:56,12:03:56,42452951,30,0,0
OF_O1-Weekday-068000_M1_112,12:07:40,12:07:40,42446455,31,0,0
OF_O1-Weekday-068000_M1_112,12:09:16,12:09:16,42430050,32,0,0
OF_O1-Weekday-068000_M1_112,12:12:00,12:12:00,42445225,33,0,0
OF_O1-Weekday-068000_M1_112,12:14:19,12:14:19,42455693,34,0,0
OF_O1-Weekday-068000_M1_112,12:16:44,12:16:44,42455662,35,0,0
OF_O1-Weekday-068000_M1_112,12:17:46,12:17:46,42431649,36,0,0
OF_O1-Weekday-068000_M1_112,12:19:16,12:19:16,42456683,37,0,0
OF_O1-Weekday-068000_M1_112,12:21:14,12:21:14,42440313,38,0,0
OF_O1-Weekday-068000_M1_112,12:24:22,12:24:22,42440951,39,0,0
OF_O1-Weekday-068000_M1_112,12:26:36,12:26:36,42446353,40,0,0
OF_O1-Weekday-068000_M1_112,12:28:51,12:28:51,42432580,41,0,0
OF_O1-Weekday-068000_M1_112,12:31:04,12:31:04,42434072,42,0,0
OF_O1-Weekday-068000_M1_112,12:32:36,12:32:36,42443556,43,0,0
OF_O1-Weekday-068000_M1_112,12:35:00,12:35:00,42437358,44,0,0
OF_O1-Weekday-068000_M1_112,12:36:42,12:36:42,42433604,45,0,0
