instance,serviced,total_requests,service_rate,vmt,avg_wait,avg_detour,avg_lateness,runtime
lc101,46,53,86.8,1028.36,13.94,145.27,16.17,1.62
lc101,43,53,81.1,1015.83,13.60,145.37,20.05,1.36
lc102,45,53,84.9,920.47,93.54,190.20,189.12,1.17
lc102,43,53,81.1,954.53,79.63,187.05,170.05,1.08
lc103,43,52,82.7,1149.99,200.96,209.10,371.39,2.12
lc103,45,52,86.5,961.85,211.61,149.19,347.41,2.16
lc103,45,52,86.5,960.62,211.48,149.18,347.28,2.51
lc103,45,52,86.5,960.62,211.48,149.18,347.28,2.20
lc103,44,52,84.6,983.58,210.24,138.99,322.13,2.11
lc107,43,53,81.1,909.33,34.26,163.93,31.46,0.82
lc107,6,20,30.0,268.82,55.57,243.00,21.46,0.31
lc107,6,20,30.0,268.82,55.57,243.00,21.46,0.27
lc107,6,20,30.0,131.08,45.11,246.99,15.00,0.29
lc107,10,20,50.0,254.76,45.30,212.20,9.12,0.31
lc107,10,20,50.0,254.76,45.30,212.20,9.12,0.30
lc108,47,53,88.7,1072.20,78.18,203.86,84.08,0.85
lc108,15,20,75.0,480.38,94.36,254.61,69.41,0.37
lc108,16,20,80.0,603.59,111.53,290.02,83.89,0.36
lc207,16,20,80.0,433.59,147.60,689.40,136.40,0.50
lc207,16,20,80.0,433.59,147.60,689.40,136.40,0.46
lc207,19,20,95.0,489.61,262.01,529.46,147.87,0.63
lc207,16,20,80.0,478.78,244.08,663.15,213.42,0.51
lc207,19,20,95.0,489.61,262.01,529.46,147.87,0.66
lc207,16,20,80.0,433.59,147.60,689.40,136.40,0.52
lr110,16,20,80.0,495.39,37.76,20.81,38.59,0.24
lr110,17,20,85.0,570.36,45.69,24.92,50.83,0.21
lr110,16,20,80.0,495.39,37.76,20.81,38.59,0.26
lr110,15,20,75.0,478.10,32.59,22.20,31.86,0.20
lr110,35,52,67.3,854.54,26.51,14.98,43.39,4.11
lr110,35,52,67.3,860.24,26.92,13.01,41.83,1.24
lr110,35,52,67.3,854.54,26.51,14.98,43.39,1.57
lr110,35,52,67.3,860.24,26.92,13.01,41.83,0.94
lr110,35,52,67.3,860.24,26.92,13.01,41.83,1.64
lr110,35,52,67.3,861.02,26.63,15.01,43.53,0.97
lr110,35,52,67.3,860.24,26.92,13.01,41.83,1.67
lr110,35,52,67.3,849.20,26.19,14.31,42.40,0.93
lr110,35,52,67.3,866.41,28.16,13.64,41.39,1.34
lr110,35,52,67.3,854.54,26.51,14.98,43.39,1.53
lr110,35,52,67.3,854.54,26.51,14.98,43.39,1.23
lr110,35,52,67.3,854.54,26.51,14.98,43.39,1.20
lr111,18,20,90.0,482.34,38.51,17.49,41.30,0.23
lr111,19,20,95.0,557.58,39.71,16.47,41.36,0.20
lr111,36,54,66.7,857.38,26.27,14.59,45.44,1.31
lr111,36,54,66.7,857.38,26.27,14.59,45.44,1.31
lr111,36,54,66.7,917.02,24.22,15.63,47.63,1.03
lr111,36,54,66.7,857.38,26.27,14.59,45.44,1.33
lr111,36,54,66.7,857.38,26.27,14.59,45.44,1.04
lr111,36,54,66.7,857.38,26.27,14.59,45.44,1.30
lr111,36,54,66.7,857.38,26.27,14.59,45.44,1.03
lr111,36,54,66.7,857.38,26.27,14.59,45.44,1.32
lr111,36,54,66.7,857.38,26.27,14.59,45.44,1.27
lr112,18,20,90.0,558.37,40.88,12.74,43.44,0.25
lr112,18,20,90.0,563.32,40.91,14.20,44.34,0.20
lr112,18,20,90.0,558.37,40.88,12.74,43.44,0.24
lr112,35,53,66.0,842.42,41.78,12.18,52.96,1.65
lr112,35,53,66.0,842.42,41.78,12.18,52.96,0.91
lr112,35,53,66.0,842.42,41.78,12.18,52.96,1.54
lr112,35,53,66.0,842.42,41.78,12.18,52.96,1.34
lr112,35,53,66.0,842.42,41.78,12.18,52.96,1.32
lr112,35,53,66.0,842.42,41.78,12.18,52.96,0.98
lr112,35,53,66.0,842.42,41.78,12.18,52.96,1.30
lr112,35,53,66.0,842.42,41.78,12.18,52.96,0.96
lr112,35,53,66.0,842.42,41.78,12.18,52.96,1.36
lr112,35,53,66.0,842.42,41.78,12.18,52.96,0.95
lr112,35,53,66.0,842.42,41.78,12.18,52.96,1.31
lr112,35,53,66.0,842.42,41.78,12.18,52.96,1.29
lr209,22,51,43.1,595.41,138.16,101.06,186.46,2.24
lr209,21,51,41.2,592.65,158.67,104.25,188.22,1.85
lr209,24,51,47.1,702.87,115.08,77.33,123.70,2.46
lr209,21,51,41.2,592.65,158.67,104.25,188.22,1.92
lr209,22,51,43.1,595.41,138.16,101.06,186.46,2.57
lr209,23,51,45.1,646.87,126.08,88.37,178.50,2.25
lr209,23,51,45.1,646.87,126.08,88.37,178.50,2.87
lr209,22,51,43.1,640.25,137.53,99.90,184.68,2.26
lr210,23,51,45.1,577.76,172.09,119.56,308.68,2.46
lr210,23,51,45.1,577.76,172.09,119.56,308.68,2.55
lr210,23,51,45.1,577.76,172.09,119.56,308.68,2.12
lr210,23,51,45.1,577.76,172.09,119.56,308.68,2.50
lr210,23,51,45.1,577.76,172.09,119.56,308.68,2.20
lr210,23,51,45.1,577.76,172.09,119.56,308.68,2.52
lr210,23,51,45.1,577.76,172.09,119.56,308.68,2.52
lr211,25,50,50.0,617.30,169.88,62.79,260.42,2.39
lr211,25,50,50.0,659.03,169.20,61.54,258.50,1.96
lr211,25,50,50.0,617.30,169.88,62.79,260.42,2.22
lr211,25,50,50.0,659.03,169.20,61.54,258.50,1.83
lr211,25,50,50.0,659.03,169.20,61.54,258.50,2.24
lr211,25,50,50.0,659.03,169.20,61.54,258.50,2.54
lr211,25,50,50.0,659.03,169.20,61.54,258.50,2.20
lrc101,33,53,62.3,1219.86,5.94,19.43,8.71,1.05
lrc101,33,53,62.3,1237.89,5.46,19.48,8.28,0.53
lrc101,33,53,62.3,1219.86,5.94,19.43,8.71,0.96
lrc101,33,53,62.3,1219.86,5.94,19.43,8.71,0.59
lrc101,33,53,62.3,1219.86,5.94,19.43,8.71,0.69
lrc101,33,53,62.3,1279.48,5.39,19.69,8.41,0.71
lrc101,33,53,62.3,1219.86,5.94,19.43,8.71,0.73
lrc101,33,53,62.3,1219.86,5.94,19.43,8.71,1.10
lrc101,33,53,62.3,1219.86,5.94,19.43,8.71,0.66
lrc102,39,53,73.6,1380.74,31.34,22.04,44.44,0.82
lrc102,39,53,73.6,1359.35,30.28,23.03,44.36,0.65
lrc102,39,53,73.6,1359.35,30.28,23.03,44.36,0.84
lrc102,39,53,73.6,1359.35,30.28,23.03,44.36,0.83
lrc102,39,53,73.6,1380.74,31.34,22.04,44.44,0.81
lrc103,38,53,71.7,1102.43,39.47,12.94,70.59,1.05
lrc103,38,53,71.7,1102.32,40.53,11.98,70.69,0.79
lrc103,38,53,71.7,1102.43,39.47,12.94,70.59,1.10
lrc103,40,53,75.5,1226.98,38.99,12.85,69.12,1.18
lrc103,38,53,71.7,1094.15,36.16,11.98,66.33,1.10
lrc103,38,53,71.7,1102.43,39.47,12.94,70.59,1.14
